feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,target
0.5282892314465539,-1.906874530389333,-0.9846336870179554,-0.861687718044076,-1.4211552422396505,-3.1869387799022535,0.41709532442324604,-4.517826666150671,-0.014800175340456967,-1.8543117017357544,1.9837041354787512,0.7571768211020226,-0.21522427528151267,alpha
-2.24472371992526,-1.6667207678489486,-0.10744488179424941,0.49281620818378147,-2.974090346938973,-3.771329552861546,0.5629106602850852,1.6458341386478825,-2.279627830639518,1.4977817122592492,-0.8582160317716268,-0.5462640091774649,0.8183539049330224,delta
-1.5361773774128027,2.2891506832026303,0.6159670060468382,0.5672177435302224,-3.1753416152701446,0.3743602926443461,-1.829681815208083,0.3072499154918549,-0.25240085615092034,-1.6058910758797422,0.1293680067038185,-2.380739105523497,3.156375515314781,alpha
-1.7215922651069386,1.9580043113059937,-1.4396081307988273,1.6634229469485788,-2.8115850895589807,1.2154858226736533,0.47803781519228344,3.191213622496382,-1.6244015705599817,-0.5719692892022583,-0.22257492722485295,-1.6819687839854107,2.1177848349795885,gamma
0.32843841522847317,2.6214691311926868,0.504270748038384,-0.18480901430122548,-1.573178128800305,0.1848454619553892,-0.3656770825305199,-0.10362566131640152,-0.07860292013384695,0.016333158541703252,0.33011379047094364,-0.8140106692915557,1.026475609333415,alpha
-0.6368251382937076,-2.085385535126224,-0.9057972133711476,-1.1429548527812985,0.11677254721948249,-2.251012440066784,0.830498133985952,-5.3786014923694,2.1104662426516025,-2.703560767103804,0.613460165671837,-0.0325038930576894,0.9632487808285557,alpha
3.1319867718963583,0.5582729895467733,-0.022030072516940464,-3.263536169859499,-5.060824481925232,-1.0695951605609608,0.7907593122325293,1.9223119189901483,-2.7794745656518587,3.2914490336865776,-0.14170872170182425,0.8778260312391258,2.772795327264742,delta
-1.239577184155956,-0.3329172588579713,-0.8395275580176573,2.615665575397702,-1.1087327158232614,-1.1662713029702894,0.7597872369530771,0.6777033540812873,-2.1305848877538844,-1.3064238015041905,1.5199520059142992,-2.1357998487348056,-1.751217421769335,gamma
0.014289385504877572,0.8840460303299684,1.1911730449400957,-0.05831089462745914,-1.715594261372796,2.069550193793125,1.3978443070314983,3.295074551491548,-1.1015890103374841,0.6944346805487669,0.31282223676684645,0.5737671099019008,2.1353067437286146,gamma
-1.9999593805517053,1.1184097645610338,-2.651828063044949,3.5745433450622466,0.2742799681341652,-1.3091799944865756,0.5896392313574,3.858896888842468,-2.6575456683304166,1.6884391280806614,0.3097267791360022,0.475751991831532,-3.4785795522369094,gamma
-1.7635220440809778,-3.401227663502152,2.0994075205025093,1.5549096467467294,0.49363749895252285,0.8452173943962342,1.352039365974326,1.6114269038611255,-0.8169617147778687,-1.581050179308607,-0.27037139913579117,-1.389780143192669,0.11489201375025315,gamma
-1.1426199370062549,1.6327469340050933,0.3918287077161016,3.219688147237947,-3.534505118481044,-1.7737529459302794,0.4283529137714487,0.3606312769055733,-3.2508613347250845,-2.0706446762681887,0.19767556695424515,-2.521604801462043,-1.2917219347817688,gamma
-0.8214350636971515,-0.5480469449325986,-0.9648933001863843,0.6205065460000634,-0.9094204346475984,0.33342067976986334,1.6158724901223136,4.26719174274681,-1.9003815158289645,2.111604649959376,0.9140771642240336,-0.9870461789363153,0.3906266990281111,delta
-0.7172084742474945,-0.2730981860339776,1.455434483915325,1.4618186661904127,-5.813665017678858,-1.0145983637575764,0.3735336834117687,-1.5354834152664352,-2.738741760042932,-4.5204550402292165,-0.6545335709983099,-2.0495145161883253,2.4534236901496733,alpha
-1.3020674693521146,-2.7119273237114374,-0.435901469090433,0.05820110515869131,-1.131992376501783,-1.8823594724762382,-1.323649570842179,-1.917803608098187,-0.12380197857036324,-1.8529899321482723,0.6552336285137607,0.2569974455858305,0.9363285872444023,alpha
-4.428913719040065,0.9757382673038137,0.3916980160104727,4.656290770114071,-0.5007533646577986,0.36293191585194684,-1.709226399202596,4.730867770753575,-2.041138471144886,-0.6030762871408638,-0.17117936979639942,-0.06611239395200703,-0.7472886705370354,gamma
-0.9298709718279472,0.745681116854138,-0.29786680495686124,0.4819932050544984,-1.5667009552838174,0.7069000636735401,-0.6308455507908564,3.3111721077455956,-1.2632915278499754,1.1684850876376427,0.9458881565546393,1.0736219439075716,1.44545141927303,beta
-0.37862431264409135,0.5105760951189036,0.5656329018867201,0.46444956266977944,-2.8458207687107544,-3.238919691552545,-0.3346038545302957,-1.7582768943283669,-1.4702590923814185,-0.6064076506446128,1.0772936730156928,-0.0178621548877335,-0.24525543991255527,gamma
-3.4132463595326787,0.7612428903613473,-0.3386690538837576,2.93283498822278,-2.7046634239674825,0.500758565758765,-1.0820177850419361,4.109394620057541,-2.1964625527889954,-0.8592999893336445,-1.6102631187918002,0.7531899497325488,1.7312539005570566,gamma
